decade,count
-3500,1
-3490,1
-3480,1
-3470,1
-3460,1
-3450,1
-3440,1
-3430,1
-3420,1
-3410,1
-3400,1
-3390,1
-3380,1
-3370,1
-3360,1
-3350,2
-3340,2
-3330,2
-3320,2
-3310,2
-3300,2
-3290,2
-3280,2
-3270,2
-3260,2
-3250,1
-3240,1
-3230,1
-3220,1
-3210,1
-3200,3
-3190,3
-3180,3
-3170,3
-3160,3
-3150,4
-3140,4
-3130,5
-3120,5
-3110,5
-3100,7
-3090,5
-3080,5
-3070,5
-3060,5
-3050,5
-3040,5
-3030,5
-3020,5
-3010,5
-3000,11
-2990,11
-2980,11
-2970,11
-2960,11
-2950,11
-2940,11
-2930,11
-2920,12
-2910,12
-2900,12
-2890,13
-2880,13
-2870,13
-2860,13
-2850,13
-2840,13
-2830,13
-2820,13
-2810,13
-2800,13
-2790,13
-2780,13
-2770,13
-2760,13
-2750,13
-2740,13
-2730,13
-2720,13
-2710,13
-2700,14
-2690,14
-2680,14
-2670,14
-2660,14
-2650,15
-2640,15
-2630,15
-2620,15
-2610,15
-2600,16
-2590,16
-2580,17
-2570,18
-2560,18
-2550,17
-2540,17
-2530,17
-2520,18
-2510,19
-2500,20
-2490,22
-2480,23
-2470,22
-2460,22
-2450,22
-2440,21
-2430,22
-2420,22
-2410,22
-2400,23
-2390,23
-2380,23
-2370,23
-2360,24
-2350,25
-2340,25
-2330,24
-2320,24
-2310,24
-2300,25
-2290,26
-2280,27
-2270,27
-2260,27
-2250,27
-2240,27
-2230,27
-2220,28
-2210,28
-2200,28
-2190,28
-2180,27
-2170,27
-2160,27
-2150,28
-2140,28
-2130,28
-2120,29
-2110,29
-2100,30
-2090,30
-2080,30
-2070,30
-2060,30
-2050,30
-2040,30
-2030,31
-2020,31
-2010,31
-2000,33
-1990,33
-1980,33
-1970,33
-1960,32
-1950,32
-1940,32
-1930,32
-1920,32
-1910,32
-1900,32
-1890,32
-1880,32
-1870,32
-1860,33
-1850,33
-1840,33
-1830,34
-1820,34
-1810,35
-1800,37
-1790,37
-1780,38
-1770,37
-1760,37
-1750,37
-1740,36
-1730,36
-1720,36
-1710,35
-1700,35
-1690,37
-1680,39
-1670,38
-1660,38
-1650,38
-1640,38
-1630,38
-1620,37
-1610,38
-1600,38
-1590,38
-1580,38
-1570,40
-1560,43
-1550,42
-1540,40
-1530,43
-1520,42
-1510,44
-1500,42
-1490,41
-1480,41
-1470,41
-1460,42
-1450,40
-1440,40
-1430,40
-1420,39
-1410,39
-1400,42
-1390,44
-1380,45
-1370,47
-1360,47
-1350,50
-1340,50
-1330,51
-1320,48
-1310,50
-1300,53
-1290,53
-1280,52
-1270,51
-1260,51
-1250,50
-1240,50
-1230,50
-1220,50
-1210,48
-1200,49
-1190,48
-1180,49
-1170,49
-1160,51
-1150,49
-1140,49
-1130,49
-1120,49
-1110,49
-1100,49
-1090,49
-1080,50
-1070,50
-1060,50
-1050,49
-1040,50
-1030,50
-1020,51
-1010,50
-1000,50
-990,50
-980,52
-970,53
-960,52
-950,54
-940,56
-930,55
-920,54
-910,53
-900,54
-890,56
-880,56
-870,55
-860,55
-850,56
-840,56
-830,56
-820,56
-810,60
-800,64
-790,64
-780,66
-770,64
-760,65
-750,68
-740,69
-730,69
-720,74
-710,75
-700,77
-690,78
-680,82
-670,86
-660,85
-650,87
-640,87
-630,93
-620,90
-610,90
-600,113
-590,116
-580,120
-570,129
-560,135
-550,144
-540,149
-530,165
-520,168
-510,178
-500,201
-490,213
-480,217
-470,222
-460,224
-450,242
-440,262
-430,276
-420,270
-410,274
-400,304
-390,307
-380,325
-370,347
-360,356
-350,351
-340,365
-330,358
-320,360
-310,360
-300,386
-290,386
-280,381
-270,376
-260,379
-250,391
-240,386
-230,388
-220,384
-210,386
-200,395
-190,403
-180,406
-170,407
-160,418
-150,429
-140,444
-130,461
-120,466
-110,483
-100,536
-90,575
-80,582
-70,607
-60,621
-50,625
-40,571
-30,643
-20,649
-10,694
0,826
10,881
20,932
30,988
40,989
50,1018
60,1025
70,1017
80,1023
90,1040
100,1052
110,1066
120,1087
130,1103
140,1101
150,1136
160,1185
170,1222
180,1262
190,1288
200,1325
210,1338
220,1338
230,1344
240,1328
250,1350
260,1319
270,1331
280,1351
290,1374
300,1419
310,1392
320,1430
330,1480
340,1508
350,1551
360,1589
370,1604
380,1623
390,1637
400,1656
410,1640
420,1647
430,1657
440,1676
450,1711
460,1729
470,1750
480,1792
490,1824
500,1878
510,1901
520,1949
530,1970
540,1954
550,1947
560,1948
570,1968
580,1979
590,2011
600,2079
610,2106
620,2116
630,2136
640,2147
650,2144
660,2131
670,2120
680,2133
690,2091
700,2130
710,2148
720,2129
730,2141
740,2147
750,2177
760,2199
770,2250
780,2266
790,2258
800,2304
810,2333
820,2343
830,2361
840,2388
850,2407
860,2418
870,2447
880,2476
890,2513
900,2564
910,2625
920,2684
930,2730
940,2792
950,2831
960,2894
970,2944
980,2989
990,3050
1000,3112
1010,3157
1020,3209
1030,3236
1040,3274
1050,3339
1060,3393
1070,3455
1080,3486
1090,3559
1100,3682
1110,3749
1120,3831
1130,3920
1140,3985
1150,4125
1160,4194
1170,4309
1180,4407
1190,4498
1200,4681
1210,4735
1220,4816
1230,4880
1240,4996
1250,5069
1260,5120
1270,5202
1280,5199
1290,5296
1300,5389
1310,5373
1320,5413
1330,5459
1340,5567
1350,5636
1360,5737
1370,5858
1380,6060
1390,6164
1400,6381
1410,6566
1420,6852
1430,7189
1440,7556
1450,8134
1460,8662
1470,9229
1480,10008
1490,10936
1500,12112
1510,12985
1520,14096
1530,15126
1540,16185
1550,17273
1560,18260
1570,19419
1580,20717
1590,21964
1600,23537
1610,24883
1620,25945
1630,26568
1640,27255
1650,27998
1660,28531
1670,28920
1680,29230
1690,29829
1700,31127
1710,32648
1720,35295
1730,39008
1740,44169
1750,51144
1760,58506
1770,66539
1780,74871
1790,85390
1800,98493
1810,114528
1820,131638
1830,150105
1840,171186
1850,196047
1860,227857
1870,265864
1880,313338
1890,366545
1900,430279
1910,496460
1920,582307
1930,676048
1940,804214
1950,932250
1960,1071130
1970,1193735
1980,1325986
1990,1385959
2000,1313783
2010,1217781
2020,1102023
